Training using device: cuda
Creating test environment 'simple_spread_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [18, 18, 18]
Action bounds for each agent:
  ['agent_0', 'agent_1', 'agent_2']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from agent_0: [0.0, 1.0]
Padded action sizes: [5, 5, 5]
Padded observation sizes: [18, 18, 18]
Environment: simple_spread_v3
Number of agents: 3
Agent names: ['agent_0', 'agent_1', 'agent_2']
Creating single 'simple_spread_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_spread_v3/baseline_spread_40k
Start Training: simple_spread_v3 | Mode: MLP | Agents: 3
Ep 5000 | Avg Score: -205.51 | Noise: 0.83 | Time: 5262s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 5050 | Avg Score: -214.47 | Noise: 0.83 | Time: 5314s
Ep 5100 | Avg Score: -211.10 | Noise: 0.83 | Time: 5367s
Ep 5150 | Avg Score: -207.26 | Noise: 0.83 | Time: 5419s
Ep 5200 | Avg Score: -203.19 | Noise: 0.83 | Time: 5471s
Ep 5250 | Avg Score: -198.75 | Noise: 0.82 | Time: 5523s
Ep 5300 | Avg Score: -188.94 | Noise: 0.82 | Time: 5576s
Ep 5350 | Avg Score: -183.46 | Noise: 0.82 | Time: 5625s
Ep 5400 | Avg Score: -178.30 | Noise: 0.82 | Time: 5671s
Ep 5450 | Avg Score: -172.96 | Noise: 0.82 | Time: 5718s
Ep 5500 | Avg Score: -177.39 | Noise: 0.82 | Time: 5765s
Ep 5550 | Avg Score: -188.19 | Noise: 0.81 | Time: 5812s
Ep 5600 | Avg Score: -183.30 | Noise: 0.81 | Time: 5857s
Ep 5650 | Avg Score: -170.44 | Noise: 0.81 | Time: 5903s
Ep 5700 | Avg Score: -159.98 | Noise: 0.81 | Time: 5948s
Ep 5750 | Avg Score: -166.55 | Noise: 0.81 | Time: 5999s
Ep 5800 | Avg Score: -177.33 | Noise: 0.81 | Time: 6052s
Ep 5850 | Avg Score: -178.02 | Noise: 0.80 | Time: 6105s
Ep 5900 | Avg Score: -178.27 | Noise: 0.80 | Time: 6158s
Ep 5950 | Avg Score: -178.08 | Noise: 0.80 | Time: 6210s
Ep 6000 | Avg Score: -171.72 | Noise: 0.80 | Time: 6263s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 6050 | Avg Score: -166.89 | Noise: 0.80 | Time: 6316s
Ep 6100 | Avg Score: -166.44 | Noise: 0.80 | Time: 6369s
Ep 6150 | Avg Score: -162.14 | Noise: 0.80 | Time: 6422s
Ep 6200 | Avg Score: -161.68 | Noise: 0.79 | Time: 6475s
Ep 6250 | Avg Score: -160.14 | Noise: 0.79 | Time: 6528s
Ep 6300 | Avg Score: -155.97 | Noise: 0.79 | Time: 6581s
Ep 6350 | Avg Score: -167.07 | Noise: 0.79 | Time: 6634s
Ep 6400 | Avg Score: -174.77 | Noise: 0.79 | Time: 6687s
Ep 6450 | Avg Score: -165.05 | Noise: 0.79 | Time: 6740s
Ep 6500 | Avg Score: -182.68 | Noise: 0.78 | Time: 6793s
Ep 6550 | Avg Score: -187.53 | Noise: 0.78 | Time: 6841s
Ep 6600 | Avg Score: -165.45 | Noise: 0.78 | Time: 6894s
Ep 6650 | Avg Score: -169.05 | Noise: 0.78 | Time: 6947s
Ep 6700 | Avg Score: -180.44 | Noise: 0.78 | Time: 7000s
Ep 6750 | Avg Score: -178.64 | Noise: 0.78 | Time: 7053s
Ep 6800 | Avg Score: -177.41 | Noise: 0.77 | Time: 7106s
Ep 6850 | Avg Score: -172.59 | Noise: 0.77 | Time: 7159s
Ep 6900 | Avg Score: -170.37 | Noise: 0.77 | Time: 7211s
Ep 6950 | Avg Score: -174.90 | Noise: 0.77 | Time: 7264s
Ep 7000 | Avg Score: -166.42 | Noise: 0.77 | Time: 7316s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 7050 | Avg Score: -163.64 | Noise: 0.77 | Time: 7369s
Ep 7100 | Avg Score: -166.18 | Noise: 0.76 | Time: 7422s
Ep 7150 | Avg Score: -166.88 | Noise: 0.76 | Time: 7476s
Ep 7200 | Avg Score: -170.67 | Noise: 0.76 | Time: 7528s
Ep 7250 | Avg Score: -167.40 | Noise: 0.76 | Time: 7582s
Ep 7300 | Avg Score: -153.69 | Noise: 0.76 | Time: 7635s
Ep 7350 | Avg Score: -141.43 | Noise: 0.76 | Time: 7687s
Ep 7400 | Avg Score: -141.62 | Noise: 0.75 | Time: 7740s
