Training using device: cuda
Creating test environment 'simple_spread_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [18, 18, 18]
Action bounds for each agent:
  ['agent_0', 'agent_1', 'agent_2']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from agent_0: [0.0, 1.0]
Padded action sizes: [5, 5, 5]
Padded observation sizes: [18, 18, 18]
Environment: simple_spread_v3
Number of agents: 3
Agent names: ['agent_0', 'agent_1', 'agent_2']
Creating single 'simple_spread_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_spread_v3/dag_spread_40k
Start Training: simple_spread_v3 | Mode: DAG | Agents: 3
Ep 6850 | Avg Score: -168.84 | Noise: 0.77 | Time: 10502s
Ep 6900 | Avg Score: -167.33 | Noise: 0.77 | Time: 10578s
Ep 6950 | Avg Score: -164.28 | Noise: 0.77 | Time: 10655s
Ep 7000 | Avg Score: -160.19 | Noise: 0.77 | Time: 10731s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 7050 | Avg Score: -151.52 | Noise: 0.77 | Time: 10808s
Ep 7100 | Avg Score: -155.86 | Noise: 0.76 | Time: 10884s
Ep 7150 | Avg Score: -158.95 | Noise: 0.76 | Time: 10960s
Ep 7200 | Avg Score: -149.92 | Noise: 0.76 | Time: 11036s
Ep 7250 | Avg Score: -149.19 | Noise: 0.76 | Time: 11112s
Ep 7300 | Avg Score: -152.10 | Noise: 0.76 | Time: 11189s
Ep 7350 | Avg Score: -156.04 | Noise: 0.76 | Time: 11266s
Ep 7400 | Avg Score: -156.44 | Noise: 0.75 | Time: 11342s
Ep 7450 | Avg Score: -154.17 | Noise: 0.75 | Time: 11419s
Ep 7500 | Avg Score: -147.51 | Noise: 0.75 | Time: 11496s
Ep 7550 | Avg Score: -152.05 | Noise: 0.75 | Time: 11572s
Ep 7600 | Avg Score: -164.49 | Noise: 0.75 | Time: 11650s
Ep 7650 | Avg Score: -163.28 | Noise: 0.74 | Time: 11726s
Ep 7700 | Avg Score: -159.09 | Noise: 0.74 | Time: 11802s
Ep 7750 | Avg Score: -157.56 | Noise: 0.74 | Time: 11877s
Ep 7800 | Avg Score: -158.69 | Noise: 0.74 | Time: 11953s
Ep 7850 | Avg Score: -163.28 | Noise: 0.74 | Time: 12026s
Ep 7900 | Avg Score: -164.84 | Noise: 0.74 | Time: 12102s
