error: XDG_RUNTIME_DIR not set in the environment.
error: XDG_RUNTIME_DIR not set in the environment.
Training using device: cuda
Creating test environment 'simple_tag_v3' to get agent information...
Original action sizes: [5, 5, 5, 5]
Original observation sizes: [16, 16, 16, 14]
Action bounds for each agent:
  ['adversary_0', 'adversary_1', 'adversary_2', 'agent_0']: [[0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_tag_v3
Padded action sizes: [5, 5, 5, 5]
Padded observation sizes: [16, 16, 16, 16]
Environment: simple_tag_v3
Number of agents: 4
Agent names: ['adversary_0', 'adversary_1', 'adversary_2', 'agent_0']
Creating single 'simple_tag_v3' environment...
Agent Groups: [0, 0, 0, 1]
📁 Training data will be saved to: ./runs/simple_tag_v3/dag_tag_60k
Start Training: simple_tag_v3 | Mode: DAG | Agents: 4
Ep 8300 | Avg Score: 28.93 | Noise: 0.72 | Time: 23072s
Ep 8350 | Avg Score: 26.18 | Noise: 0.72 | Time: 23190s
Ep 8400 | Avg Score: 29.26 | Noise: 0.72 | Time: 23309s
Ep 8450 | Avg Score: 25.70 | Noise: 0.72 | Time: 23427s
Ep 8500 | Avg Score: 20.15 | Noise: 0.72 | Time: 23546s
Ep 8550 | Avg Score: 16.82 | Noise: 0.72 | Time: 23665s
Ep 8600 | Avg Score: 23.08 | Noise: 0.71 | Time: 23785s
Ep 8650 | Avg Score: 29.64 | Noise: 0.71 | Time: 23903s
Ep 8700 | Avg Score: 26.81 | Noise: 0.71 | Time: 24022s
Ep 8750 | Avg Score: 27.30 | Noise: 0.71 | Time: 24141s
Ep 8800 | Avg Score: 30.31 | Noise: 0.71 | Time: 24259s
Ep 8850 | Avg Score: 30.22 | Noise: 0.71 | Time: 24377s
Ep 8900 | Avg Score: 29.35 | Noise: 0.70 | Time: 24495s
Ep 8950 | Avg Score: 28.88 | Noise: 0.70 | Time: 24612s
Ep 9000 | Avg Score: 34.32 | Noise: 0.70 | Time: 24729s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 9050 | Avg Score: 31.87 | Noise: 0.70 | Time: 24847s
Ep 9100 | Avg Score: 26.61 | Noise: 0.70 | Time: 24964s
Ep 9150 | Avg Score: 26.82 | Noise: 0.70 | Time: 25082s
Ep 9200 | Avg Score: 24.68 | Noise: 0.69 | Time: 25200s
Ep 9250 | Avg Score: 22.27 | Noise: 0.69 | Time: 25319s
Ep 9300 | Avg Score: 23.94 | Noise: 0.69 | Time: 25437s
Ep 9350 | Avg Score: 27.82 | Noise: 0.69 | Time: 25555s
Ep 9400 | Avg Score: 30.37 | Noise: 0.69 | Time: 25674s
