Training using device: cuda
Creating test environment 'simple_adversary_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [8, 10, 10]
Action bounds for each agent:
  ['adversary_0', 'agent_0', 'agent_1']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_adversary_v3
Padded action sizes: [5, 5, 5]
Padded observation sizes: [10, 10, 10]
Environment: simple_adversary_v3
Number of agents: 3
Agent names: ['adversary_0', 'agent_0', 'agent_1']
Creating single 'simple_adversary_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_adversary_v3/dag_adv_40k
Start Training: simple_adversary_v3 | Mode: DAG | Agents: 3
Ep 6850 | Avg Score: 9.62 | Noise: 0.77 | Time: 10603s
Ep 6900 | Avg Score: 16.18 | Noise: 0.77 | Time: 10680s
Ep 6950 | Avg Score: 13.31 | Noise: 0.77 | Time: 10755s
Ep 7000 | Avg Score: 11.62 | Noise: 0.77 | Time: 10832s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 7050 | Avg Score: 15.97 | Noise: 0.77 | Time: 10909s
Ep 7100 | Avg Score: 19.09 | Noise: 0.76 | Time: 10987s
Ep 7150 | Avg Score: 21.85 | Noise: 0.76 | Time: 11065s
Ep 7200 | Avg Score: 19.96 | Noise: 0.76 | Time: 11142s
Ep 7250 | Avg Score: 18.16 | Noise: 0.76 | Time: 11219s
Ep 7300 | Avg Score: 13.91 | Noise: 0.76 | Time: 11295s
Ep 7350 | Avg Score: 12.49 | Noise: 0.76 | Time: 11372s
Ep 7400 | Avg Score: 11.01 | Noise: 0.75 | Time: 11448s
Ep 7450 | Avg Score: 9.75 | Noise: 0.75 | Time: 11525s
Ep 7500 | Avg Score: 10.44 | Noise: 0.75 | Time: 11603s
Ep 7550 | Avg Score: 3.48 | Noise: 0.75 | Time: 11680s
Ep 7600 | Avg Score: 1.08 | Noise: 0.75 | Time: 11758s
Ep 7650 | Avg Score: 1.49 | Noise: 0.74 | Time: 11835s
Ep 7700 | Avg Score: 0.69 | Noise: 0.74 | Time: 11911s
Ep 7750 | Avg Score: 3.13 | Noise: 0.74 | Time: 11989s
Ep 7800 | Avg Score: 0.75 | Noise: 0.74 | Time: 12067s
Ep 7850 | Avg Score: -8.02 | Noise: 0.74 | Time: 12144s
Ep 7900 | Avg Score: -3.97 | Noise: 0.74 | Time: 12222s
Ep 7950 | Avg Score: 6.02 | Noise: 0.73 | Time: 12299s
Ep 8000 | Avg Score: 7.36 | Noise: 0.73 | Time: 12377s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 8050 | Avg Score: 6.71 | Noise: 0.73 | Time: 12454s
Ep 8100 | Avg Score: 9.13 | Noise: 0.73 | Time: 12532s
Ep 8150 | Avg Score: 12.66 | Noise: 0.73 | Time: 12609s
Ep 8200 | Avg Score: 17.44 | Noise: 0.73 | Time: 12686s
Ep 8250 | Avg Score: 24.07 | Noise: 0.72 | Time: 12763s
Ep 8300 | Avg Score: 27.65 | Noise: 0.72 | Time: 12841s
Ep 8350 | Avg Score: 19.92 | Noise: 0.72 | Time: 12918s
Ep 8400 | Avg Score: 16.78 | Noise: 0.72 | Time: 12996s
Ep 8450 | Avg Score: 21.64 | Noise: 0.72 | Time: 13073s
Ep 8500 | Avg Score: 21.89 | Noise: 0.72 | Time: 13150s
Ep 8550 | Avg Score: 22.52 | Noise: 0.72 | Time: 13227s
Ep 8600 | Avg Score: 23.79 | Noise: 0.71 | Time: 13305s
Ep 8650 | Avg Score: 24.31 | Noise: 0.71 | Time: 13382s
Ep 8700 | Avg Score: 15.43 | Noise: 0.71 | Time: 13458s
Ep 8750 | Avg Score: 9.64 | Noise: 0.71 | Time: 13536s
Ep 8800 | Avg Score: 9.88 | Noise: 0.71 | Time: 13614s
Ep 8850 | Avg Score: 7.65 | Noise: 0.71 | Time: 13692s
Ep 8900 | Avg Score: 7.59 | Noise: 0.70 | Time: 13770s
Ep 8950 | Avg Score: 9.43 | Noise: 0.70 | Time: 13847s
Ep 9000 | Avg Score: 9.26 | Noise: 0.70 | Time: 13923s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 9050 | Avg Score: 3.58 | Noise: 0.70 | Time: 13999s
Ep 9100 | Avg Score: -2.66 | Noise: 0.70 | Time: 14076s
Ep 9150 | Avg Score: 3.46 | Noise: 0.70 | Time: 14153s
Ep 9200 | Avg Score: 22.24 | Noise: 0.69 | Time: 14230s
Ep 9250 | Avg Score: 29.46 | Noise: 0.69 | Time: 14306s
Ep 9300 | Avg Score: 22.20 | Noise: 0.69 | Time: 14384s
Ep 9350 | Avg Score: 17.21 | Noise: 0.69 | Time: 14460s
Ep 9400 | Avg Score: 23.87 | Noise: 0.69 | Time: 14538s
Ep 9450 | Avg Score: 25.81 | Noise: 0.69 | Time: 14614s
Ep 9500 | Avg Score: 23.93 | Noise: 0.68 | Time: 14691s
Ep 9550 | Avg Score: 26.76 | Noise: 0.68 | Time: 14767s
Ep 9600 | Avg Score: 20.81 | Noise: 0.68 | Time: 14844s
Ep 9650 | Avg Score: 19.44 | Noise: 0.68 | Time: 14920s
Ep 9700 | Avg Score: 22.84 | Noise: 0.68 | Time: 14998s
Ep 9750 | Avg Score: 19.18 | Noise: 0.68 | Time: 15075s
Ep 9800 | Avg Score: 20.90 | Noise: 0.67 | Time: 15152s
Ep 9850 | Avg Score: 24.38 | Noise: 0.67 | Time: 15230s
Ep 9900 | Avg Score: 20.39 | Noise: 0.67 | Time: 15307s
Ep 9950 | Avg Score: 17.23 | Noise: 0.67 | Time: 15384s
Ep 10000 | Avg Score: 11.54 | Noise: 0.67 | Time: 15461s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 10050 | Avg Score: 9.33 | Noise: 0.67 | Time: 15537s
Ep 10100 | Avg Score: 12.72 | Noise: 0.66 | Time: 15614s
Ep 10150 | Avg Score: 7.31 | Noise: 0.66 | Time: 15691s
Ep 10200 | Avg Score: 5.00 | Noise: 0.66 | Time: 15769s
Ep 10250 | Avg Score: 4.23 | Noise: 0.66 | Time: 15846s
Ep 10300 | Avg Score: 5.69 | Noise: 0.66 | Time: 15923s
Ep 10350 | Avg Score: 4.86 | Noise: 0.66 | Time: 16000s
Ep 10400 | Avg Score: 0.42 | Noise: 0.65 | Time: 16078s
