Training using device: cuda
Creating test environment 'simple_adversary_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [8, 10, 10]
Action bounds for each agent:
  ['adversary_0', 'agent_0', 'agent_1']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_adversary_v3
Padded action sizes: [5, 5, 5]
Padded observation sizes: [10, 10, 10]
Environment: simple_adversary_v3
Number of agents: 3
Agent names: ['adversary_0', 'agent_0', 'agent_1']
Creating single 'simple_adversary_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_adversary_v3/baseline_adv_40k
Start Training: simple_adversary_v3 | Mode: MLP | Agents: 3
Ep 4950 | Avg Score: -17.92 | Noise: 0.83 | Time: 5107s
Ep 5000 | Avg Score: -19.09 | Noise: 0.83 | Time: 5159s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 5050 | Avg Score: -16.75 | Noise: 0.83 | Time: 5211s
Ep 5100 | Avg Score: -15.53 | Noise: 0.83 | Time: 5263s
Ep 5150 | Avg Score: -14.98 | Noise: 0.83 | Time: 5315s
Ep 5200 | Avg Score: -13.52 | Noise: 0.83 | Time: 5367s
Ep 5250 | Avg Score: -12.22 | Noise: 0.82 | Time: 5419s
Ep 5300 | Avg Score: -14.35 | Noise: 0.82 | Time: 5471s
Ep 5350 | Avg Score: -11.82 | Noise: 0.82 | Time: 5524s
Ep 5400 | Avg Score: -8.76 | Noise: 0.82 | Time: 5576s
Ep 5450 | Avg Score: -9.67 | Noise: 0.82 | Time: 5627s
Ep 5500 | Avg Score: -9.21 | Noise: 0.82 | Time: 5680s
Ep 5550 | Avg Score: -10.60 | Noise: 0.81 | Time: 5732s
Ep 5600 | Avg Score: -12.59 | Noise: 0.81 | Time: 5785s
Ep 5650 | Avg Score: -12.94 | Noise: 0.81 | Time: 5837s
Ep 5700 | Avg Score: -10.12 | Noise: 0.81 | Time: 5889s
Ep 5750 | Avg Score: -3.04 | Noise: 0.81 | Time: 5941s
Ep 5800 | Avg Score: 1.08 | Noise: 0.81 | Time: 5992s
Ep 5850 | Avg Score: -1.84 | Noise: 0.80 | Time: 6044s
Ep 5900 | Avg Score: -6.95 | Noise: 0.80 | Time: 6097s
Ep 5950 | Avg Score: -12.18 | Noise: 0.80 | Time: 6149s
Ep 6000 | Avg Score: -12.99 | Noise: 0.80 | Time: 6201s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 6050 | Avg Score: -10.07 | Noise: 0.80 | Time: 6254s
Ep 6100 | Avg Score: -6.72 | Noise: 0.80 | Time: 6306s
Ep 6150 | Avg Score: -14.29 | Noise: 0.80 | Time: 6358s
Ep 6200 | Avg Score: -23.42 | Noise: 0.79 | Time: 6409s
Ep 6250 | Avg Score: -24.06 | Noise: 0.79 | Time: 6461s
Ep 6300 | Avg Score: -17.96 | Noise: 0.79 | Time: 6513s
Ep 6350 | Avg Score: -11.48 | Noise: 0.79 | Time: 6565s
Ep 6400 | Avg Score: -13.51 | Noise: 0.79 | Time: 6617s
Ep 6450 | Avg Score: -20.06 | Noise: 0.79 | Time: 6669s
Ep 6500 | Avg Score: -18.27 | Noise: 0.78 | Time: 6720s
Ep 6550 | Avg Score: -14.69 | Noise: 0.78 | Time: 6771s
Ep 6600 | Avg Score: -16.81 | Noise: 0.78 | Time: 6823s
Ep 6650 | Avg Score: -14.81 | Noise: 0.78 | Time: 6875s
Ep 6700 | Avg Score: -11.02 | Noise: 0.78 | Time: 6925s
Ep 6750 | Avg Score: -11.16 | Noise: 0.78 | Time: 6976s
Ep 6800 | Avg Score: -9.21 | Noise: 0.77 | Time: 7027s
Ep 6850 | Avg Score: -7.35 | Noise: 0.77 | Time: 7078s
Ep 6900 | Avg Score: -5.33 | Noise: 0.77 | Time: 7130s
Ep 6950 | Avg Score: 4.03 | Noise: 0.77 | Time: 7181s
Ep 7000 | Avg Score: 16.42 | Noise: 0.77 | Time: 7233s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 7050 | Avg Score: 46.18 | Noise: 0.77 | Time: 7284s
Ep 7100 | Avg Score: 69.63 | Noise: 0.76 | Time: 7336s
Ep 7150 | Avg Score: 71.52 | Noise: 0.76 | Time: 7387s
Ep 7200 | Avg Score: 50.65 | Noise: 0.76 | Time: 7436s
Ep 7250 | Avg Score: 41.14 | Noise: 0.76 | Time: 7488s
Ep 7300 | Avg Score: 52.59 | Noise: 0.76 | Time: 7540s
Ep 7350 | Avg Score: 27.81 | Noise: 0.76 | Time: 7591s
Ep 7400 | Avg Score: -2.27 | Noise: 0.75 | Time: 7643s
Ep 7450 | Avg Score: -0.30 | Noise: 0.75 | Time: 7696s
Ep 7500 | Avg Score: 3.97 | Noise: 0.75 | Time: 7748s
Ep 7550 | Avg Score: -9.81 | Noise: 0.75 | Time: 7799s
Ep 7600 | Avg Score: -23.49 | Noise: 0.75 | Time: 7851s
Ep 7650 | Avg Score: -8.45 | Noise: 0.74 | Time: 7902s
Ep 7700 | Avg Score: 10.21 | Noise: 0.74 | Time: 7953s
Ep 7750 | Avg Score: 0.90 | Noise: 0.74 | Time: 8004s
Ep 7800 | Avg Score: -17.11 | Noise: 0.74 | Time: 8056s
Ep 7850 | Avg Score: -28.28 | Noise: 0.74 | Time: 8108s
Ep 7900 | Avg Score: -34.35 | Noise: 0.74 | Time: 8159s
Ep 7950 | Avg Score: -38.03 | Noise: 0.73 | Time: 8210s
Ep 8000 | Avg Score: -35.25 | Noise: 0.73 | Time: 8261s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 8050 | Avg Score: -38.07 | Noise: 0.73 | Time: 8312s
Ep 8100 | Avg Score: -40.47 | Noise: 0.73 | Time: 8363s
Ep 8150 | Avg Score: -42.73 | Noise: 0.73 | Time: 8414s
Ep 8200 | Avg Score: -48.95 | Noise: 0.73 | Time: 8465s
Ep 8250 | Avg Score: -56.19 | Noise: 0.72 | Time: 8516s
Ep 8300 | Avg Score: -61.57 | Noise: 0.72 | Time: 8567s
Ep 8350 | Avg Score: -56.21 | Noise: 0.72 | Time: 8616s
Ep 8400 | Avg Score: -47.24 | Noise: 0.72 | Time: 8665s
